driver_id,event_timestamp,val_to_add,val_to_add_2,conv_rate,acc_rate,avg_daily_trips,conv_rate_plus_val1,conv_rate_plus_val2
1005,2021-04-12 07:00:00+00:00,1,33,0.6105524,0.17509931,642,1.6105523705482483,33.61055237054825
1001,2021-04-12 07:00:00+00:00,5,64,0.11366262,0.30072153,673,5.113662622869015,64.11366262286901
1004,2021-04-12 07:00:00+00:00,6,36,0.9363305,0.9976544,732,6.936330497264862,36.93633049726486
1003,2021-04-12 07:00:00+00:00,4,43,0.75801396,0.109001085,124,4.758013963699341,43.75801396369934
1002,2021-04-12 07:00:00+00:00,2,38,0.43790835,0.37153006,562,2.437908351421356,38.437908351421356
1004,2025-12-08 17:00:00+00:00,6,76,0.25429016,0.7424743,415,6.254290163516998,76.254290163517
1001,2025-12-08 17:00:00+00:00,9,35,0.098856844,0.43367133,260,9.098856844007969,35.09885684400797
1003,2025-12-08 17:00:00+00:00,1,78,0.9202197,0.40496013,13,1.9202197194099426,78.92021971940994
1005,2025-12-08 17:00:00+00:00,5,27,0.32926545,0.4732467,54,5.32926544547081,27.32926544547081
1002,2025-12-08 17:00:00+00:00,7,52,0.641181,0.5339806,63,7.641180992126465,52.641180992126465
1001,2025-12-08 18:00:00+00:00,1,97,0.48661718,0.33485982,736,1.4866171777248383,97.48661717772484
1005,2025-12-08 18:00:00+00:00,2,73,0.2638518,0.11385108,878,2.2638517916202545,73.26385179162025
1003,2025-12-08 18:00:00+00:00,4,84,0.9889723,0.7656282,197,4.988972306251526,84.98897230625153
1004,2025-12-08 18:00:00+00:00,6,56,0.7715222,0.5337033,458,6.771522223949432,56.77152222394943
1002,2025-12-08 18:00:00+00:00,5,66,9.122121e-05,0.574778,42,5.000091221212642,66.00009122121264
1002,2025-12-08 19:00:00+00:00,9,97,0.574305,0.5823022,316,9.57430499792099,97.57430499792099
1004,2025-12-08 19:00:00+00:00,8,79,0.6288054,0.048228912,412,8.62880539894104,79.62880539894104
1003,2025-12-08 19:00:00+00:00,8,72,0.9660985,0.7228961,333,8.966098487377167,72.96609848737717
1005,2025-12-08 19:00:00+00:00,5,69,0.21752188,0.2376478,823,5.2175218760967255,69.21752187609673
1001,2025-12-08 19:00:00+00:00,5,28,0.47965702,0.0053600105,936,5.479657024145126,28.479657024145126
1005,2025-12-08 20:00:00+00:00,9,43,0.9939686,0.32570955,463,9.993968605995178,43.99396860599518
1004,2025-12-08 20:00:00+00:00,6,16,0.3842684,0.91154927,305,6.384268403053284,16.384268403053284
1003,2025-12-08 20:00:00+00:00,5,11,0.7488138,0.37336826,703,5.748813807964325,11.748813807964325
1001,2025-12-08 20:00:00+00:00,9,42,0.39972648,0.7998061,104,9.39972648024559,42.39972648024559
1002,2025-12-08 20:00:00+00:00,7,36,0.22735116,0.73388505,392,7.227351158857346,36.227351158857346
1004,2025-12-08 21:00:00+00:00,4,65,0.15194945,0.42415553,868,4.15194945037365,65.15194945037365
1002,2025-12-08 21:00:00+00:00,6,11,0.6949486,0.5273467,391,6.694948613643646,11.694948613643646
1003,2025-12-08 21:00:00+00:00,8,72,0.44241202,0.017057009,393,8.44241201877594,72.44241201877594
1001,2025-12-08 21:00:00+00:00,3,10,0.892544,0.26706344,874,3.8925439715385437,10.892543971538544
1005,2025-12-08 21:00:00+00:00,2,96,0.28632852,0.49259916,389,2.28632852435112,96.28632852435112
1003,2025-12-08 22:00:00+00:00,6,41,0.4168661,0.2375853,375,6.416866093873978,41.41686609387398
1004,2025-12-08 22:00:00+00:00,8,26,0.11268612,0.62100554,157,8.11268611997366,26.11268611997366
1005,2025-12-08 22:00:00+00:00,4,19,0.5359282,0.49806884,126,4.535928189754486,19.535928189754486
1001,2025-12-08 22:00:00+00:00,6,43,0.10567746,0.5269562,778,6.105677463114262,43.10567746311426
1002,2025-12-08 22:00:00+00:00,3,94,0.09573054,0.65724057,313,3.0957305431365967,94.0957305431366
1004,2025-12-08 23:00:00+00:00,2,75,0.6237308,0.8598327,45,2.623730778694153,75.62373077869415
1003,2025-12-08 23:00:00+00:00,1,74,0.47198936,0.87310815,701,1.4719893634319305,74.47198936343193
1005,2025-12-08 23:00:00+00:00,2,18,0.7725124,0.3336331,656,2.772512376308441,18.77251237630844
1001,2025-12-08 23:00:00+00:00,9,27,0.71545327,0.5205514,424,9.715453267097473,27.715453267097473
1002,2025-12-08 23:00:00+00:00,5,33,0.52214164,0.43560407,644,5.522141635417938,33.52214163541794
1002,2025-12-09 00:00:00+00:00,1,83,0.46132424,0.92238957,404,1.4613242447376251,83.46132424473763
1004,2025-12-09 00:00:00+00:00,1,13,0.54164004,0.24159265,137,1.541640043258667,13.541640043258667
1005,2025-12-09 00:00:00+00:00,7,95,0.30628356,0.82725185,200,7.306283563375473,95.30628356337547
1001,2025-12-09 00:00:00+00:00,2,97,0.6152633,0.03483344,861,2.615263283252716,97.61526328325272
1003,2025-12-09 00:00:00+00:00,6,27,0.6781156,0.084365435,887,6.678115606307983,27.678115606307983
1003,2025-12-09 01:00:00+00:00,5,46,0.8457345,0.9864676,760,5.845734477043152,46.84573447704315
1005,2025-12-09 01:00:00+00:00,3,17,0.49702254,0.074245624,432,3.4970225393772125,17.497022539377213
1004,2025-12-09 01:00:00+00:00,8,71,0.18683161,0.10301127,793,8.18683160841465,71.18683160841465
1002,2025-12-09 01:00:00+00:00,1,29,0.10314874,0.7987432,403,1.1031487435102463,29.103148743510246
1001,2025-12-09 01:00:00+00:00,1,63,0.3147925,0.5175868,624,1.314792513847351,63.31479251384735
