driver_id,event_timestamp,val_to_add,val_to_add_2,conv_rate,acc_rate,avg_daily_trips,conv_rate_plus_val1,conv_rate_plus_val2
1005,2021-04-12 07:00:00+00:00,2,11,0.6105524,0.17509931,642,2.6105523705482483,11.610552370548248
1001,2021-04-12 07:00:00+00:00,7,73,0.11366262,0.30072153,673,7.113662622869015,73.11366262286901
1004,2021-04-12 07:00:00+00:00,1,20,0.9363305,0.9976544,732,1.936330497264862,20.936330497264862
1003,2021-04-12 07:00:00+00:00,7,69,0.75801396,0.109001085,124,7.758013963699341,69.75801396369934
1002,2021-04-12 07:00:00+00:00,5,84,0.43790835,0.37153006,562,5.437908351421356,84.43790835142136
1004,2025-12-08 17:00:00+00:00,6,19,0.25429016,0.7424743,415,6.254290163516998,19.254290163517
1001,2025-12-08 17:00:00+00:00,6,96,0.098856844,0.43367133,260,6.098856844007969,96.09885684400797
1003,2025-12-08 17:00:00+00:00,7,42,0.9202197,0.40496013,13,7.920219719409943,42.92021971940994
1005,2025-12-08 17:00:00+00:00,4,59,0.32926545,0.4732467,54,4.32926544547081,59.32926544547081
1002,2025-12-08 17:00:00+00:00,6,54,0.641181,0.5339806,63,6.641180992126465,54.641180992126465
1001,2025-12-08 18:00:00+00:00,3,43,0.48661718,0.33485982,736,3.4866171777248383,43.48661717772484
1005,2025-12-08 18:00:00+00:00,1,97,0.2638518,0.11385108,878,1.2638517916202545,97.26385179162025
1003,2025-12-08 18:00:00+00:00,5,80,0.9889723,0.7656282,197,5.988972306251526,80.98897230625153
1004,2025-12-08 18:00:00+00:00,4,80,0.7715222,0.5337033,458,4.771522223949432,80.77152222394943
1002,2025-12-08 18:00:00+00:00,2,65,9.122121e-05,0.574778,42,2.0000912212126423,65.00009122121264
1002,2025-12-08 19:00:00+00:00,1,26,0.574305,0.5823022,316,1.57430499792099,26.57430499792099
1004,2025-12-08 19:00:00+00:00,4,20,0.6288054,0.048228912,412,4.62880539894104,20.62880539894104
1003,2025-12-08 19:00:00+00:00,5,80,0.9660985,0.7228961,333,5.966098487377167,80.96609848737717
1005,2025-12-08 19:00:00+00:00,2,89,0.21752188,0.2376478,823,2.2175218760967255,89.21752187609673
1001,2025-12-08 19:00:00+00:00,3,30,0.47965702,0.0053600105,936,3.4796570241451263,30.479657024145126
1005,2025-12-08 20:00:00+00:00,9,75,0.9939686,0.32570955,463,9.993968605995178,75.99396860599518
1004,2025-12-08 20:00:00+00:00,1,40,0.3842684,0.91154927,305,1.3842684030532837,40.384268403053284
1003,2025-12-08 20:00:00+00:00,7,16,0.7488138,0.37336826,703,7.748813807964325,16.748813807964325
1001,2025-12-08 20:00:00+00:00,2,50,0.39972648,0.7998061,104,2.39972648024559,50.39972648024559
1002,2025-12-08 20:00:00+00:00,7,57,0.22735116,0.73388505,392,7.227351158857346,57.227351158857346
1004,2025-12-08 21:00:00+00:00,3,45,0.15194945,0.42415553,868,3.1519494503736496,45.15194945037365
1002,2025-12-08 21:00:00+00:00,7,60,0.6949486,0.5273467,391,7.694948613643646,60.694948613643646
1003,2025-12-08 21:00:00+00:00,4,99,0.44241202,0.017057009,393,4.44241201877594,99.44241201877594
1001,2025-12-08 21:00:00+00:00,1,33,0.892544,0.26706344,874,1.8925439715385437,33.892543971538544
1005,2025-12-08 21:00:00+00:00,8,29,0.28632852,0.49259916,389,8.28632852435112,29.28632852435112
1003,2025-12-08 22:00:00+00:00,6,94,0.4168661,0.2375853,375,6.416866093873978,94.41686609387398
1004,2025-12-08 22:00:00+00:00,5,49,0.11268612,0.62100554,157,5.1126861199736595,49.11268611997366
1005,2025-12-08 22:00:00+00:00,8,91,0.5359282,0.49806884,126,8.535928189754486,91.53592818975449
1001,2025-12-08 22:00:00+00:00,3,76,0.10567746,0.5269562,778,3.1056774631142616,76.10567746311426
1002,2025-12-08 22:00:00+00:00,7,21,0.09573054,0.65724057,313,7.095730543136597,21.095730543136597
1004,2025-12-08 23:00:00+00:00,4,81,0.6237308,0.8598327,45,4.623730778694153,81.62373077869415
1003,2025-12-08 23:00:00+00:00,4,83,0.47198936,0.87310815,701,4.4719893634319305,83.47198936343193
1005,2025-12-08 23:00:00+00:00,1,68,0.7725124,0.3336331,656,1.7725123763084412,68.77251237630844
1001,2025-12-08 23:00:00+00:00,4,61,0.71545327,0.5205514,424,4.715453267097473,61.71545326709747
1002,2025-12-08 23:00:00+00:00,1,32,0.52214164,0.43560407,644,1.5221416354179382,32.52214163541794
1002,2025-12-09 00:00:00+00:00,4,96,0.46132424,0.92238957,404,4.461324244737625,96.46132424473763
1004,2025-12-09 00:00:00+00:00,6,53,0.54164004,0.24159265,137,6.541640043258667,53.54164004325867
1005,2025-12-09 00:00:00+00:00,6,67,0.30628356,0.82725185,200,6.306283563375473,67.30628356337547
1001,2025-12-09 00:00:00+00:00,8,67,0.6152633,0.03483344,861,8.615263283252716,67.61526328325272
1003,2025-12-09 00:00:00+00:00,1,30,0.6781156,0.084365435,887,1.6781156063079834,30.678115606307983
1003,2025-12-09 01:00:00+00:00,4,21,0.8457345,0.9864676,760,4.845734477043152,21.845734477043152
1005,2025-12-09 01:00:00+00:00,5,31,0.49702254,0.074245624,432,5.4970225393772125,31.497022539377213
1004,2025-12-09 01:00:00+00:00,2,99,0.18683161,0.10301127,793,2.18683160841465,99.18683160841465
1002,2025-12-09 01:00:00+00:00,2,92,0.10314874,0.7987432,403,2.1031487435102463,92.10314874351025
1001,2025-12-09 01:00:00+00:00,7,23,0.3147925,0.5175868,624,7.314792513847351,23.31479251384735
